0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:41:15 -0500] "GET /CreationContenido/js/materia/Revisar.js HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:41:20 -0500] "POST /CreationContenido/Revisar HTTP/1.1" 200 9166
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:41:21 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 9903
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:41:24 -0500] "POST /CreationContenido/BusMat HTTP/1.1" 200 16675
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:41:26 -0500] "GET /CreationContenido/Validar?cveMat=TEST HTTP/1.1" 200 9601
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:41:26 -0500] "GET /CreationContenido/js/materia/Validar.js HTTP/1.1" 200 3359
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:41:26 -0500] "GET /CreationContenido/images/loading.gif HTTP/1.1" 200 81572
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:41:29 -0500] "POST /CreationContenido/Validar HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:41:33 -0500] "POST /CreationContenido/Validar HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:41:39 -0500] "POST /CreationContenido/Validar HTTP/1.1" 200 9835
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:41:42 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 9903
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:41:45 -0500] "POST /CreationContenido/BusMat HTTP/1.1" 200 16675
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:41:46 -0500] "GET /CreationContenido/Liberar?cveMat=TEST HTTP/1.1" 200 8882
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:41:47 -0500] "GET /CreationContenido/js/materia/Liberar.js HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:41:49 -0500] "POST /CreationContenido/Liberar HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:41:51 -0500] "POST /CreationContenido/Liberar HTTP/1.1" 200 43621
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:41:54 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 13336
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:41:57 -0500] "POST /CreationContenido/BusMat?cveMat=TEST HTTP/1.1" 200 9922
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:42:01 -0500] "POST /CreationContenido/BusMat HTTP/1.1" 200 16614
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:51:13 -0500] "POST /CreationContenido/BusMat HTTP/1.1" 200 18207
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:54:50 -0500] "POST /CreationContenido/BusMat HTTP/1.1" 200 16676
